product_id,sku,name,url,price,list_price,original_price,rating_average,review_count,thumbnail_url,inventory_status,color,size
99968881,4423892093285,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",https://tiki.vn/product-p99968881.html?spid=99968931,245000,399000,399000,4.8,615,https://salt.tikicdn.com/cache/280x280/ts/product/72/b8/0a/ebee6db7d7f72acc112e73dbf9bd0c0e.jpg,available,"['2XL', 'L', 'M', 'XL']",['Đen & Xanh']
99958075,4345512315085,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",https://tiki.vn/product-p99958075.html?spid=99958305,119000,199000,199000,4.7,536,https://salt.tikicdn.com/cache/280x280/ts/product/54/35/2e/11beabb454181c78ba269ad1496cdeb5.jpg,available,"['2XL', 'L', 'M', 'XL']","['Xanh Đen', 'Xanh Đơn', 'Đen']"
70776478,4941900392801,QUẦN ĐÙI NAM - QUẦN SHORT NAM,https://tiki.vn/product-p70776478.html?spid=276661706,115000,115000,115000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4e/e3/c3/cef4a7e06c657d4151b629b787d2082a.jpg,available,['Đen'],"['2XL', 'XL']"
63834909,9476876236460,Quần short nam ALGQS1070,https://tiki.vn/product-p63834909.html?spid=63834911,335000,335000,335000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/03/c1/9d/3addabb7f87ebb674c45b6c24104ccb4.png,available,"['29', '30', '31', '32']",[]
59444463,7404564536969,Quần short nam trơn phong cách freesize dưới 65kg,https://tiki.vn/product-p59444463.html?spid=59444465,149000,149000,149000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/09/8d/b9/2e73b16d94dda3a424609d59c16f9739.jpg,available,['đen'],['freesize']
154298071,2240352549120,"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",https://tiki.vn/product-p154298071.html?spid=189475415,259000,399000,399000,4.8,232,https://salt.tikicdn.com/cache/280x280/ts/product/1c/fc/18/004f81ca1ca0a81e40ac59846a750093.jpg,available,"['Đen Rằn Ri & Ghi Rằn Ri', 'Đen và Xanh Rằn Ri']","['L', 'M', 'XL', 'XXL']"
2373561,4679317030343,Quần Short Nam Muidoi Q110 - Xám,https://tiki.vn/product-p2373561.html?spid=2397089,132000,132000,132000,3.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/28/28/aa/c76ebefb2a7ef16d4398a45a67b31ba9.jpg,available,"['28', '29', '30', '31', '32', 'Size 34']",[]
172474530,9984128274284,"Quần short thun nam cao cấp, quần short nam vải cotton LN058",https://tiki.vn/product-p172474530.html?spid=276917280,75000,75000,75000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/04/ce/51/e3384e128a3e835c129e545617eb176a.jpg,available,"['Màu 1', 'Màu 2 ', 'NÂU', 'RÊU', 'Trắng', 'xanh biển', 'xám', 'đen']","['3XL', '4XL', '5XL', 'Int:XL', 'Int:XXL']"
263494583,8153664795396,Quần Short lửng lưng thun nam,https://tiki.vn/product-p263494583.html?spid=263494589,210000,210000,210000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b0/ee/72/727b2d6b338f7a6557b85f373c59ea73.jpg,available,"['2xl', '3xl', '4xl']","['Màu Kem', 'Màu xanh', 'Màu xám']"
154292862,9759298343756,"Quần đùi short gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",https://tiki.vn/product-p154292862.html?spid=189475061,129000,199000,199000,5.0,106,https://salt.tikicdn.com/cache/280x280/ts/product/69/aa/1b/1f0c8fbcf761a260fe06898eb9e0098f.jpg,available,"['Ghi Rằn Ri', 'Xanh Rằn Ri', 'Đen Rằn Ri']","['L', 'M', 'XL', 'XXL']"
