product_id,sku,name,url,price,list_price,original_price,rating_average,review_count,thumbnail_url,inventory_status,color,size
202224525,5462080286207,Quần short jean nữ ngắn lưng cao regular fit Aaa Jeans,https://tiki.vn/product-p202224525.html?spid=202224529,349000,400000,400000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9f/f8/04/d280c49e9a2c4b078f0479379ad633f3.jpg,available,"['Alice Blue', 'Navy Blue', 'Royal Blue']","['26', '27', '28', '29', '30', '31', '32']"
93048143,4092761663792,quần short nữ đùi chất đũi sần nhẹ mát,https://tiki.vn/product-p93048143.html?spid=113056523,43000,43000,43000,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/f0/3e/f5/3cffc13890c09f12cf039381d24caf94.jpg,available,['4 be'],['M<55kg']
116574865,8498860316204,"quần short nữ,quần đùi nữ chất đũi nữ cạp chụn nhiều màu mềm mại",https://tiki.vn/product-p116574865.html?spid=116574873,49000,49000,49000,4.3,15,https://salt.tikicdn.com/cache/280x280/ts/product/f0/3e/f5/ea5866afd78a56f9c337eeaebec5368a.jpg,available,"['Be', 'trắng', 'Đen']","['L', 'M', 's']"
113056517,9722867912390,quần short nữ quần đùi nữ cạp chun chất đũi sần nhẹ mát,https://tiki.vn/product-p113056517.html?spid=113056525,43000,43000,43000,5.0,7,https://salt.tikicdn.com/cache/280x280/ts/product/f0/3e/f5/1f84a2a17ced2a8b85e5c3ae1b2f1b32.jpg,available,"['L', 'M', 'S']",['Xanh ngọc']
191436035,8621847038326,Quần short nữ - T190,https://tiki.vn/product-p191436035.html?spid=191436072,1750000,1750000,1750000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/62/48/6b/4b255d8a716c367266f588f9275f18da.jpg,available,"['Màu đỏ', 'Trắng', 'Vàng', 'xanh đen']","['L', 'M', 'S', 'XS', 'XXL', 'Xl']"
15306283,7277629482187,Quần short đũi nữ,https://tiki.vn/product-p15306283.html?spid=59176249,133000,133000,133000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/57/86/b3/d25d26fb30d6b88958e39e74b7ddc1f1.jpg,available,[],[]
25405221,1043503333779,Quần short đũi lụa nữ,https://tiki.vn/product-p25405221.html?spid=59176325,113000,113000,113000,3.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/97/8c/b5/b9a202138581aa1977971239bef430f1.jpg,available,"['Vàng Nude (kem)', 'đen']",[]
187826102,8186832431074,Quần Short nữ kiểu 2NDDATE TR011LS,https://tiki.vn/product-p187826102.html?spid=187826117,375000,375000,375000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/68/99/ed/cfe9489234ca1b2d858089c49c15880a.jpg,available,['Be'],['S']
187826262,6750799987296,Quần Short nữ kiểu 2NDDATE TR011N,https://tiki.vn/product-p187826262.html?spid=187826265,375000,375000,375000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e7/69/c9/8fce29e8f3c21b64a214c5d158a4d995.jpg,available,['Xanh Navy'],['XS']
187826907,2129839989662,Quần Short nữ kiểu 2NDDATE TR011W,https://tiki.vn/product-p187826907.html?spid=187826909,375000,375000,375000,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d3/c2/cd/96941e66c090582608545d82d38dced0.jpg,available,['Trắng'],['XS']
